2020-10-21 21:40:47 INFO  TestBase:125 - [Ljava.lang.StackTraceElement;@1ba9117e
2020-10-21 21:40:48 INFO  TestBase:125 - [Ljava.lang.StackTraceElement;@46b61c56
2020-10-21 21:42:39 INFO  Browser:33 - ************Chrome browser launched*****************
2020-10-21 21:42:39 INFO  TestBase:133 - Browser set to :Chrome
2020-10-21 21:42:39 INFO  WaitHelper:31 - Implicit wait has been set to :60
2020-10-21 21:42:39 INFO  WaitHelper:91 - waiting for page loading for :60
2020-10-21 21:42:39 INFO  WaitHelper:93 - page loaded in :60
2020-10-21 21:42:52 INFO  TestBase:72 - **************testLoginToApplicationStarted***************
2020-10-21 21:42:52 INFO  WaitHelper:98 - waiting for :[[ChromeDriver: chrome on WINDOWS (dd1e61ea60316d05eb156298f9176f50)] -> xpath: //a[@class='login']]--60seconds
2020-10-21 21:42:52 INFO  LoginPage:70 - clicked on sign in link...
2020-10-21 21:42:56 INFO  LoginPage:76 - entering email address....user123@test.com
2020-10-21 21:42:56 INFO  LoginPage:82 - entering password....test123
2020-10-21 21:42:56 INFO  LoginPage:88 - clicking on submit button...
2020-10-21 21:42:56 INFO  JSExecutorHelper:18 - JavaScriptHelper has been initialised
2020-10-21 21:42:59 INFO  WaitHelper:98 - waiting for :[[ChromeDriver: chrome on WINDOWS (dd1e61ea60316d05eb156298f9176f50)] -> xpath: //*[@id='block_top_menu']/ul/li[1]/a]--60seconds
2020-10-21 21:42:59 INFO  VerificationHelper:26 - Element displayed
2020-10-21 21:42:59 INFO  VerificationHelper:49 - element is displayed with text:Welcome to your account. Here you can manage all of your personal information and orders.
2020-10-21 21:43:02 INFO  LoginPage:142 - clicked on logout link
2020-10-21 21:43:02 INFO  WaitHelper:98 - waiting for :[[ChromeDriver: chrome on WINDOWS (dd1e61ea60316d05eb156298f9176f50)] -> xpath: //a[@class='login']]--60seconds
2020-10-21 21:43:03 INFO  TestBase:72 - **************testLoginToApplicationStarted***************
2020-10-21 21:43:03 INFO  WaitHelper:98 - waiting for :[[ChromeDriver: chrome on WINDOWS (dd1e61ea60316d05eb156298f9176f50)] -> xpath: //a[@class='login']]--60seconds
2020-10-21 21:43:03 INFO  LoginPage:70 - clicked on sign in link...
2020-10-21 21:43:07 INFO  LoginPage:76 - entering email address....user123@test.com
2020-10-21 21:43:07 INFO  LoginPage:82 - entering password....test123
2020-10-21 21:43:07 INFO  LoginPage:88 - clicking on submit button...
2020-10-21 21:43:07 INFO  JSExecutorHelper:18 - JavaScriptHelper has been initialised
2020-10-21 21:43:12 INFO  WaitHelper:98 - waiting for :[[ChromeDriver: chrome on WINDOWS (dd1e61ea60316d05eb156298f9176f50)] -> xpath: //*[@id='block_top_menu']/ul/li[1]/a]--60seconds
2020-10-21 21:43:12 INFO  VerificationHelper:26 - Element displayed
2020-10-21 21:43:12 INFO  VerificationHelper:49 - element is displayed with text:Welcome to your account. Here you can manage all of your personal information and orders.
2020-10-21 21:43:15 INFO  LoginPage:142 - clicked on logout link
